# Labels,Labels,Labels,Labels,Labels,Energy (Hz)
# N,MF,d_pi(d0),d_plus(d0),d_minus(d0)
3,4,-0.000000,-0.000000,0.000001,5881726584.443020
3,2,-0.000000,-0.000000,0.000000,5881732676.835957
3,-1,0.000000,0.000000,0.000000,5881732723.419052
3,2,-0.000000,0.000000,-0.000000,5881732904.924231
3,3,0.000000,-0.000000,-0.000000,5881735187.631066
3,4,0.000000,0.000000,0.000000,5881743628.534028
3,-2,-0.000000,-0.000000,-0.000000,5881746775.098139
3,6,-0.000000,0.000009,-0.000000,5881767728.322580
3,5,0.000000,0.000000,0.000000,5881773890.540653
3,-3,0.000000,0.000000,0.000000,5881778401.977350
3,-1,0.000000,0.000000,0.000000,5881784108.421776
3,-0,0.000000,0.000000,0.000000,5881787109.254880
3,1,0.000000,-0.000000,0.000000,5881793237.413898
3,4,-0.000000,0.000000,0.000000,5881793650.309930
3,-2,-0.000000,0.000000,-0.000000,5881797346.030104
3,-0,0.000000,-0.000000,-0.000000,5881798347.712123
3,5,-0.000005,0.000000,0.000000,5881807511.893392
3,3,0.000000,0.000000,-0.000000,5881807892.928103
3,1,-0.000000,0.000000,-0.000000,5881811573.356089
3,-2,0.000000,-0.000000,0.000000,5881818081.968947
3,2,0.000000,-0.000000,0.000000,5881818285.427606
3,1,-0.000000,-0.000000,0.000000,5881818512.005355
3,3,-0.000000,0.000000,-0.000000,5881821173.286596
3,-3,-0.000000,-0.000000,-0.000000,5881826364.240666
3,-1,0.000000,0.000000,-0.000000,5881840338.679609
3,4,-0.000000,-0.000000,-0.000002,5881844966.002287
3,4,0.000000,0.000000,0.000000,5881861798.108582
3,2,0.000000,-0.000000,-0.000000,5881863601.542200
3,-4,0.000000,-0.000000,-0.000000,5881864100.037968
3,-2,-0.000000,0.000000,-0.000000,5881865313.229104
3,-1,-0.000000,0.000000,0.000000,5881868007.884806
3,3,-0.000000,0.000000,0.000000,5881875462.712296
3,-3,0.000000,0.000000,0.000000,5881877848.771442
3,3,0.000000,0.000000,0.000000,5881880642.217391
3,5,-0.000001,-0.000000,0.000000,5881884516.226043
3,-1,0.000000,0.000000,-0.000000,5881888823.037998
3,0,-0.000000,-0.000000,-0.000000,5881891322.800732
3,2,-0.000000,0.000000,-0.000000,5881893941.263868
3,0,-0.000000,-0.000000,0.000000,5881900179.123676
3,2,-0.000000,0.000000,0.000000,5881901628.788432
3,-3,0.000000,0.000000,-0.000000,5881904965.209255
3,-4,-0.000000,-0.000000,-0.000000,5881906176.867704
3,1,-0.000000,0.000000,-0.000000,5881906505.363637
3,-0,-0.000000,-0.000000,0.000000,5881911903.090363
3,4,0.000000,0.000000,-0.000001,5881921025.858707
3,2,-0.000000,0.000000,-0.000000,5881935927.885368
3,3,0.000000,0.000000,0.000000,5881940506.549335
3,1,-0.000000,-0.000000,0.000000,5881948577.628139
3,3,0.000000,0.000000,0.000000,5881949520.713343
3,-5,0.000000,0.000000,-0.000000,5881949989.601180
3,-2,0.000000,0.000000,0.000000,5881952315.289253
3,2,0.000000,0.000000,-0.000000,5881969072.367976
3,1,-0.000000,-0.000000,-0.000000,5881977832.530995
3,-2,-0.000000,-0.000000,0.000000,5881981592.376534
3,1,-0.000000,-0.000000,-0.000000,5881989175.331033
3,-4,-0.000000,-0.000000,-0.000000,5881992405.801189
3,4,0.000000,-0.000000,-0.000001,5881993341.677649
3,-1,0.000000,0.000000,-0.000000,5881996294.660628
3,3,-0.000000,0.000000,0.000000,5881997019.895201
3,0,0.000000,0.000000,-0.000000,5881998427.927339
3,2,0.000000,0.000000,0.000000,5882012810.919306
3,1,-0.000000,0.000000,0.000000,5882014300.334127
3,-1,-0.000000,0.000000,-0.000000,5882015782.220288
3,-0,0.000000,0.000000,-0.000000,5882017629.224930
3,2,0.000000,0.000000,-0.000000,5882036033.597631
3,3,-0.000000,0.000000,-0.000000,5882036201.187984
3,4,0.000000,-0.000000,0.000002,5882044105.295863
3,1,-0.000000,-0.000000,-0.000000,5882048434.966963
3,2,0.000000,0.000000,-0.000000,5882050787.882310
3,-1,-0.000000,-0.000000,-0.000000,5882052813.446637
3,1,0.000000,0.000000,0.000000,5882059954.411004
3,-3,-0.000000,-0.000000,-0.000000,5882060901.478580
3,0,0.000000,0.000000,-0.000000,5882063433.885747
3,-3,-0.000000,-0.000000,-0.000000,5882075557.838915
3,-5,-0.000000,0.000000,-0.000000,5882080104.395700
3,-0,-0.000000,-0.000000,-0.000000,5882083037.544557
3,-2,-0.000000,-0.000000,0.000000,5882091645.000902
3,-1,0.000000,-0.000000,0.000000,5882093268.950582
3,5,0.000003,-0.000000,-0.000000,5882094163.806488
3,3,-0.000000,0.000000,0.000000,5882100091.773839
3,2,0.000000,0.000000,-0.000000,5882116214.210743
3,1,-0.000000,0.000000,0.000000,5882121103.274510
3,-2,0.000000,0.000000,0.000000,5882123569.705232
3,1,0.000000,0.000000,-0.000000,5882134996.740595
3,0,-0.000000,-0.000000,0.000000,5882140730.835193
3,-1,0.000000,0.000000,0.000000,5882144260.675163
3,0,0.000000,0.000000,-0.000000,5882153359.548767
3,2,-0.000000,-0.000000,0.000000,5882154344.352088
3,1,-0.000000,0.000000,0.000000,5882164731.373035
3,0,-0.000000,-0.000000,-0.000000,5882166224.586501
3,-4,0.000000,0.000000,-0.000000,5882166707.276623
3,-6,-0.000000,-0.000000,-0.000000,5882167951.458582
3,-4,-0.000000,0.000000,-0.000000,5882170563.070603
3,3,0.000000,0.000000,-0.000000,5882176516.588857
3,-1,0.000000,0.000000,0.000000,5882180036.322246
3,-1,0.000000,-0.000000,0.000000,5882183311.712718
3,-3,0.000000,0.000000,0.000000,5882188411.321719
3,-2,-0.000000,-0.000000,-0.000000,5882190319.423749
3,-2,-0.000000,-0.000000,-0.000000,5882190552.145152
3,0,-0.000000,-0.000000,0.000000,5882203448.716181
3,2,-0.000000,0.000000,0.000000,5882204652.112000
3,1,-0.000000,0.000000,0.000000,5882228404.693855
3,4,-0.000000,-0.000000,-0.000000,5882230583.608022
3,-3,-0.000000,-0.000000,-0.000000,5882231355.284389
3,-0,-0.000000,0.000000,-0.000000,5882250952.701391
3,-1,-0.000000,-0.000000,-0.000000,5882253767.823933
3,-1,0.000000,-0.000000,0.000000,5882260496.276373
3,-5,-0.000000,0.000000,-0.000000,5882264210.650306
3,-2,-0.000000,0.000000,-0.000000,5882264619.651513
3,-5,0.000000,-0.000000,0.000000,5882272381.607177
3,1,0.000000,0.000000,0.000000,5882274224.982732
3,-2,0.000000,-0.000000,-0.000000,5882279702.036051
3,-0,0.000000,0.000000,-0.000000,5882280955.322027
3,-4,0.000000,-0.000000,0.000000,5882286524.549554
3,-1,-0.000000,0.000000,-0.000000,5882286840.622335
3,-3,-0.000000,0.000000,0.000000,5882289813.248267
3,2,0.000000,0.000000,-0.000000,5882305192.505775
3,-2,0.000000,-0.000000,0.000000,5882305710.340785
3,1,0.000000,0.000000,-0.000000,5882307039.215760
3,-3,-0.000000,-0.000000,-0.000000,5882325200.650603
3,-0,-0.000000,0.000000,-0.000000,5882337548.754832
3,-4,0.000000,-0.000000,-0.000000,5882338840.099721
3,3,-0.000000,-0.000000,-0.000000,5882362234.191798
3,-1,-0.000000,0.000000,-0.000000,5882365088.275042
3,-6,0.000000,-0.000000,0.000000,5882375553.383415
3,-2,-0.000000,0.000000,-0.000000,5882378967.146415
3,-3,-0.000000,-0.000000,-0.000000,5882381541.204975
3,-0,-0.000000,0.000000,-0.000000,5882393628.674835
3,-1,0.000000,-0.000000,0.000000,5882397579.814116
3,-2,0.000000,-0.000000,0.000000,5882407347.030390
3,0,0.000000,0.000000,0.000000,5882407552.285527
3,-3,-0.000000,-0.000000,-0.000000,5882428956.045690
3,1,-0.000000,0.000000,-0.000000,5882431277.868704
3,-1,0.000000,0.000000,-0.000000,5882445599.592621
3,-5,0.000000,0.000000,0.000000,5882445988.808815
3,-4,-0.000000,0.000000,-0.000000,5882457518.242342
3,-7,0.000000,-0.000000,-0.000000,5882477750.869144
3,-2,0.000000,-0.000000,0.000000,5882479808.043354
3,2,-0.000000,0.000000,-0.000000,5882490259.319460
3,-4,0.000000,-0.000000,0.000000,5882496607.824273
3,-3,0.000000,-0.000000,0.000000,5882498367.368590
